# Time-averaged data for fix gamma
# TimeStep v_gamma
20000 2.495
30000 1.84121
40000 -0.504297
50000 -0.157337
60000 0.44429
70000 0.473756
80000 -0.148363
90000 1.62241
100000 0.0920015
110000 0.140424
