# Time-averaged data for fix gamma
# TimeStep v_gamma
1000 -1.45409
2000 0.973286
3000 3.05639
4000 -0.816322
5000 0.430249
6000 -1.30608
7000 -2.94201
8000 -1.1387
9000 -2.65856
10000 -2.77537
