-31.500000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000
-30.500000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000
-29.500000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000
-28.500000 -0.110787 -0.130078 -0.504897 -0.074322 0.148892 0.241899
-27.500000 -0.326839 -0.610982 -2.676710 -0.112923 0.362248 1.135363
-26.500000 -0.411386 -0.428493 -2.539079 0.003392 0.485346 0.705225
-25.500000 -0.907125 -0.580253 -4.691033 -0.058387 0.796506 1.303638
-24.500000 -1.697658 -1.090715 -3.882019 0.507899 0.766683 0.960070
-23.500000 -11.790378 -7.090771 -10.170004 0.155588 -0.404654 1.500106
-22.500000 -33.581250 -33.657770 -24.939360 1.121095 -3.367824 4.355647
-21.500000 -64.845520 -80.971851 -27.306416 -1.402119 4.630249 6.723797
-20.500000 -123.644773 -174.079407 -24.152317 -11.553103 11.874480 18.551158
-19.500000 -223.703062 -316.789776 1.194472 -28.515311 7.812197 22.210044
-18.500000 -332.499468 -459.622372 32.339411 -17.066578 20.322648 9.261183
-17.500000 -380.039321 -498.798239 83.959759 -44.270930 21.076944 -10.787027
-16.500000 -308.651531 -317.043233 225.458589 -50.254177 15.540731 -32.624438
-15.500000 -136.533083 -9.224388 413.886246 -27.393032 5.904862 -38.374495
-14.500000 154.596352 288.758483 676.446166 11.005177 -24.847325 -74.710729
-13.500000 464.562288 568.305068 920.397076 46.405417 -48.542785 -86.527967
-12.500000 775.204362 818.469232 1204.507220 69.307438 -64.847760 -91.727405
-11.500000 995.479386 989.160452 1416.485071 74.594439 -68.528486 -98.245787
-10.500000 1108.637792 1054.920923 1613.902544 91.052218 -69.418315 -87.353905
-9.500000 1122.697547 1036.925529 1742.268798 117.070164 -67.617836 -89.693028
-8.500000 1051.115144 971.380735 1742.573219 93.260165 -49.327105 -75.627716
-7.500000 978.083212 949.821174 1668.011275 66.449049 -51.311969 -42.807172
-6.500000 932.975191 969.964148 1622.255586 42.561128 -50.450208 -45.653602
-5.500000 842.809934 966.802975 1507.091322 8.714306 -31.815895 -45.805476
-4.500000 738.069012 913.247334 1348.215686 0.469914 -27.049073 -40.244910
-3.500000 672.678223 819.747162 1245.212035 -3.239877 -24.925154 -38.914959
-2.500000 649.468160 768.939689 1169.678586 -6.497832 -24.163433 -39.259415
-1.500000 594.920034 678.797869 1034.584139 0.434297 -21.710621 -29.650735
-0.500000 555.687328 607.728587 993.473180 11.299511 -24.327197 -15.816867
0.500000 537.333045 560.185456 1012.596530 16.147150 -21.683648 -14.932951
1.500000 564.254876 591.933720 1033.145247 9.810061 -36.193298 -8.842359
2.500000 669.983204 687.537735 1112.505286 8.112591 -50.496214 2.304675
3.500000 800.538978 793.771915 1264.224471 15.970467 -66.120479 11.953177
4.500000 872.779375 865.030739 1382.819373 48.495505 -93.117926 23.240973
5.500000 911.665158 878.286388 1475.770131 75.951387 -89.761413 26.973573
6.500000 973.134018 985.927427 1623.877653 74.475422 -101.536650 44.010385
7.500000 1062.943107 1061.851770 1691.546935 74.043732 -100.846718 47.241526
8.500000 1106.910858 1080.754347 1691.226980 83.126989 -87.927841 58.364161
9.500000 1073.999723 1101.367129 1681.746463 62.045872 -95.343598 48.339957
10.500000 1023.251809 1104.002745 1558.011957 36.903307 -106.951144 42.559694
11.500000 936.409773 1078.670732 1381.112814 30.592720 -66.214895 22.935690
12.500000 758.407463 941.153008 1188.983074 9.311631 -69.031671 17.634135
13.500000 427.099069 625.677824 900.432833 -38.248065 -56.757635 -11.597216
14.500000 70.320571 258.930853 635.326410 -74.769732 -60.330490 -26.729342
15.500000 -212.066755 -29.036940 415.138870 -71.327350 -47.131361 -17.374987
16.500000 -344.006464 -184.215139 248.421219 -28.482130 -46.907494 -8.699533
17.500000 -412.602526 -265.736205 104.441653 -7.420783 -50.841673 -3.326038
18.500000 -382.015849 -242.177053 27.025509 -23.083641 -43.456983 6.880215
19.500000 -274.059441 -203.123096 -10.707733 -55.080089 -27.107266 6.449198
20.500000 -147.910946 -135.114004 -22.350446 -33.019301 -13.526854 -0.212118
21.500000 -81.313170 -94.409862 -25.950448 -16.387486 -13.366580 -0.935048
22.500000 -34.666957 -35.602269 -17.551896 -7.094980 -8.646769 -3.895543
23.500000 -8.325145 -10.209940 -5.655430 -1.188614 -2.479536 -2.929426
24.500000 -1.046743 -3.592321 -1.494321 -1.087488 -0.707744 -2.067335
25.500000 -0.320130 -1.639256 -0.937728 -0.497688 -0.328236 -1.093319
26.500000 -0.004863 -0.105563 -0.086137 -0.019710 -0.013095 -0.082383
27.500000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000
28.500000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000
29.500000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000
30.500000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000
31.500000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000
