# Time-averaged data for fix gamma
# TimeStep v_gamma
20000 -0.365396
30000 1.14351
40000 1.19944
50000 0.998627
60000 0.525142
70000 -0.223639
80000 1.40845
90000 0.0517816
100000 -0.1774
110000 1.54211
