# Time-averaged data for fix gamma
# TimeStep v_gamma
100000 0.00653379
200000 -0.144168
300000 0.00554733
400000 -0.176064
500000 -0.208927
600000 0.356536
700000 -0.0656324
800000 -0.00457485
900000 -0.0265424
1000000 0.223148
